CountryName,date,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,H6_Flag,ConfirmedCases,StringencyIndex,2020_sca,mean_sca,inc,mean,dif
Bulgaria,20200217,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,8.33,0.4742715896385899,0.12497292020962342,0.3508771929824561,0.20717418021339593,-0.3492986694289665
Bulgaria,20200224,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,,0.0,2.0,1.0,0.0,0.0,0.0,,0.0,13.89,0.5646510500154909,0.021750247563105285,0.3880597014925373,0.16470791754589484,-0.5429008024523856
Bulgaria,20200302,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,,0.0,2.0,1.0,0.0,0.0,0.0,,0.0,13.89,0.18566424087719063,0.0,0.23214285714285715,0.1557597697948575,-0.18566424087719063
Canada,20200203,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,,0.0,0.0,,1.0,1.0,0.0,,4.0,2.78,0.9473035810736936,1.0,0.2886917685007134,0.30475105791693946,0.05269641892630639
Canada,20200210,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,,0.0,0.0,,1.0,1.0,0.0,,7.0,2.78,0.9062779281722858,0.9080831247719949,0.2761891573772762,0.2767392929507856,0.0018051965997091246
Canada,20200217,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,,0.0,0.0,,1.0,1.0,0.0,,8.0,2.78,0.8921452350896165,0.8307051011457982,0.2718822042091173,0.2531582583911802,-0.06144013394381831
Canada,20200224,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,,0.0,0.0,,1.0,1.0,0.0,,10.0,2.78,0.8081382667510266,0.7787099446218491,0.2462809917355372,0.23731267943394985,-0.029428322129177564
Canada,20200302,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,,0.0,0.0,,1.0,1.0,0.0,,27.0,2.78,0.6317387334268877,0.7196626975441495,0.19252304733895143,0.21931796841993798,0.08792396411726178
Canada,20200309,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,,0.0,0.0,,2.0,1.0,0.0,,77.0,2.78,0.4126542239469131,0.6576510127615224,0.12575681130171543,0.2004198418792206,0.2449967888146093
Canada,20200316,3.0,0.0,0.0,,2.0,0.0,3.0,1.0,0.0,,1.0,1.0,0.0,,1.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,,415.0,43.52,0.22472643102672551,0.6025424740178732,0.06848561759729273,0.18362545639683686,0.3778160429911477
Canada,20200323,3.0,1.0,3.0,0.0,2.0,0.0,4.0,0.0,0.0,,1.0,1.0,2.0,0.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,,2088.0,72.69,0.07597954935605374,0.5412192206110026,0.023154848046309694,0.1649371300461845,0.46523967125494886
Canada,20200330,3.0,1.0,3.0,0.0,2.0,0.0,4.0,0.0,0.0,,1.0,1.0,2.0,0.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,,7398.0,72.69,0.023002571203820522,0.5047760120249558,0.007010057909174032,0.15383102367569904,0.48177344082113527
Canada,20200406,3.0,1.0,3.0,0.0,2.0,0.0,4.0,0.0,0.0,,1.0,1.0,2.0,0.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,,16563.0,72.69,0.008056532624731865,0.46060848445602964,0.002455236840529373,0.1403709229234932,0.45255195183129776
Canada,20200413,3.0,1.0,3.0,0.0,2.0,0.0,4.0,0.0,0.0,,1.0,1.0,2.0,0.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,,25680.0,72.69,0.002932759448085477,0.42952713914240176,0.0008937615444199488,0.1308988500576834,0.4265943796943163
Canada,20200420,3.0,1.0,3.0,0.0,2.0,0.0,4.0,0.0,0.0,,1.0,1.0,2.0,0.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,37658.0,72.69,0.0040009349360660505,0.3781647393195872,0.0012192891544229715,0.11524610437452784,0.37416380438352115
Canada,20200427,3.0,1.0,3.0,0.0,2.0,0.0,4.0,0.0,0.0,,1.0,1.0,2.0,0.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,49616.0,72.69,0.0036239714757955507,0.3804780531141682,0.0011044091411095064,0.11595108920072025,0.37685408163837264
Canada,20200504,3.0,1.0,3.0,0.0,2.0,0.0,4.0,0.0,0.0,,1.0,1.0,2.0,0.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,61957.0,72.69,0.003070284713744628,0.32656384755687407,0.0009356725146198831,0.09952067802038352,0.3234935628431294
Canada,20200511,3.0,0.0,3.0,0.0,2.0,0.0,4.0,0.0,0.0,,1.0,1.0,2.0,0.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,71264.0,70.83,0.004644732339121375,0.3359690624931771,0.0014154870940882597,0.10238692722215807,0.3313243301540557
Canada,20200518,3.0,0.0,3.0,0.0,2.0,0.0,4.0,0.0,0.0,,1.0,1.0,2.0,0.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,79411.0,70.83,0.003612393381301069,0.3007930307049252,0.001100880704563651,0.0916669943213684,0.2971806373236241
Canada,20200525,3.0,0.0,3.0,0.0,2.0,0.0,4.0,0.0,0.0,,1.0,1.0,2.0,0.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,87119.0,70.83,0.002917634962490727,0.24318844943471662,0.0008891523414344991,0.07411193723841003,0.2402708144722259
